ln_fn_by,ln_fn_dob,patient_last_name,patient_first_name,patient_dob,patient_birth_year,estimated_dob,estimated_birth_year,combined_dob,combined_birth_year
CANIDATE RYAN 1997,CANIDATE RYAN 1997-08-19,CANIDATE,RYAN,1997-08-19,1997,1998-03-10,1998,1997-08-19,1997
CANINO JAZLYNN 1991,CANINO JAZLYNN 1991-12-31,CANINO,JAZLYNN,1991-12-31,1991,1992-12-26,1992,1991-12-31,1991
CANN WILLIAM 1943,CANN WILLIAM 1943-07-17,CANN,WILLIAM,1943-07-17,1943,1943-10-31,1943,1943-07-17,1943
CANNADY PATSY 1935,CANNADY PATSY 1935-01-12,CANNADY,PATSY,1935-01-12,1935,1935-05-28,1935,1935-01-12,1935
CANNADY TANYA 1968,CANNADY TANYA 1968-11-13,CANNADY,TANYA,1968-11-13,1968,1969-05-31,1969,1968-11-13,1968
CANNADY TANYA 1968,CANNADY TANYA 1968-11-13,CANNADY,TANYA,1968-11-13,1968,1969-11-11,1969,1968-11-13,1968
CANNEDY SARAH 1961,CANNEDY SARAH 1961-01-24,CANNEDY,SARAH,1961-01-24,1961,1962-02-02,1962,1961-01-24,1961
CANNON ANTHONY 1964,CANNON ANTHONY 1964-06-25,CANNON,ANTHONY,1964-06-25,1964,1964-10-07,1964,1964-06-25,1964
CANNON WAUTHENNA 1933,CANNON WAUTHENNA 1933-09-18,CANNON,WAUTHENNA,1933-09-18,1933,1933-11-11,1933,1933-09-18,1933
CANNON BENJAMIN 1936,CANNON BENJAMIN 1936-03-29,CANNON,BENJAMIN,1936-03-29,1936,1937-01-09,1937,1936-03-29,1936
CANNY NICOLE 1987,CANNY NICOLE 1987-04-01,CANNY,NICOLE,1987-04-01,1987,1987-06-13,1987,1987-04-01,1987
CANO MINERVA 1943,CANO MINERVA 1943-09-07,CANO,MINERVA,1943-09-07,1943,1944-03-20,1944,1943-09-07,1943
CANTAVE CARLINE 1964,CANTAVE CARLINE 1964-07-11,CANTAVE,CARLINE,1964-07-11,1964,1964-09-29,1964,1964-07-11,1964
CANTRELL AMBER 1966,CANTRELL AMBER 1966-06-02,CANTRELL,AMBER,1966-06-02,1966,1966-09-25,1966,1966-06-02,1966
CANTRELL PATRICIA 1943,CANTRELL PATRICIA 1943-01-13,CANTRELL,PATRICIA,1943-01-13,1943,1943-06-13,1943,1943-01-13,1943
CANTRELL RICK 1954,CANTRELL RICK 1954-08-06,CANTRELL,RICK,1954-08-06,1954,1955-04-28,1955,1954-08-06,1954
CANTRELL RUBY 1930,CANTRELL RUBY 1930-08-06,CANTRELL,RUBY,1930-08-06,1930,1930-10-03,1930,1930-08-06,1930
CANTRELL CLARA 1931,CANTRELL CLARA 1931-07-11,CANTRELL,CLARA,1931-07-11,1931,1931-09-16,1931,1931-07-11,1931
CANTRELL BRITTANY 1989,CANTRELL BRITTANY 1989-08-06,CANTRELL,BRITTANY,1989-08-06,1989,1990-06-05,1990,1989-08-06,1989
CANTRELL CLARA 1931,CANTRELL CLARA 1931-07-11,CANTRELL,CLARA,1931-07-11,1931,1932-03-20,1932,1931-07-11,1931
CANTRELL RUTH 1956,CANTRELL RUTH 1956-10-10,CANTRELL,RUTH,1956-10-10,1956,1957-01-21,1957,1956-10-10,1956
CANTRELL CLARA 1931,CANTRELL CLARA 1931-07-11,CANTRELL,CLARA,1931-07-11,1931,1932-02-27,1932,1931-07-11,1931
CANTRELL MYRON 1944,CANTRELL MYRON 1944-07-03,CANTRELL,MYRON,1944-07-03,1944,1945-03-31,1945,1944-07-03,1944
CAO ANDRES 1960,CAO ANDRES 1960-05-04,CAO,ANDRES,1960-05-04,1960,1960-10-05,1960,1960-05-04,1960
CAPELOSSA VICTOR 2001,CAPELOSSA VICTOR 2001-10-10,CAPELOSSA,VICTOR,2001-10-10,2001,2002-04-12,2002,2001-10-10,2001
CAPILOFF ELIZABETH 1937,CAPILOFF ELIZABETH 1937-09-17,CAPILOFF,ELIZABETH,1937-09-17,1937,1937-12-14,1937,1937-09-17,1937
CAPILOUTO BARBARA 1949,CAPILOUTO BARBARA 1949-07-11,CAPILOUTO,BARBARA,1949-07-11,1949,1950-04-26,1950,1949-07-11,1949
CAPLAND JUDD 1952,CAPLAND JUDD 1952-02-15,CAPLAND,JUDD,1952-02-15,1952,1952-04-04,1952,1952-02-15,1952
CAPO JILL 1976,CAPO JILL 1976-03-19,CAPO,JILL,1976-03-19,1976,1976-04-15,1976,1976-03-19,1976
CAPOZZI BRIAN 1978,CAPOZZI BRIAN 1978-05-11,CAPOZZI,BRIAN,1978-05-11,1978,1979-02-06,1979,1978-05-11,1978
CARACCIOLA JULIE 1961,CARACCIOLA JULIE 1961-02-17,CARACCIOLA,JULIE,1961-02-17,1961,1961-04-25,1961,1961-02-17,1961
CARACCIOLA JULIE 1961,CARACCIOLA JULIE 1961-03-17,CARACCIOLA,JULIE,1961-03-17,1961,1961-10-04,1961,1961-03-17,1961
CARAGGIOLA JULIE 1961,CARAGGIOLA JULIE 1961-03-17,CARAGGIOLA,JULIE,1961-03-17,1961,1961-12-14,1961,1961-03-17,1961
CARASIK WILLIAM 1946,CARASIK WILLIAM 1946-11-10,CARASIK,WILLIAM,1946-11-10,1946,1947-04-21,1947,1946-11-10,1946
CARBONE DEBRA 1954,CARBONE DEBRA 1954-08-17,CARBONE,DEBRA,1954-08-17,1954,1955-07-20,1955,1954-08-17,1954
CARBONE DEBORA 1954,CARBONE DEBORA 1954-08-17,CARBONE,DEBORA,1954-08-17,1954,1955-07-13,1955,1954-08-17,1954
CARBONE DEBRA 1964,CARBONE DEBRA 1964-08-07,CARBONE,DEBRA,1964-08-07,1964,1965-08-11,1965,1964-08-07,1964
CARBONE DEBRA 1954,CARBONE DEBRA 1954-08-17,CARBONE,DEBRA,1954-08-17,1954,1954-09-21,1954,1954-08-17,1954
CARDENAS ELEANOR 1986,CARDENAS ELEANOR 1986-01-14,CARDENAS,ELEANOR,1986-01-14,1986,1986-10-30,1986,1986-01-14,1986
CARDENAS MAGDA 1961,CARDENAS MAGDA 1961-07-04,CARDENAS,MAGDA,1961-07-04,1961,1962-04-10,1962,1961-07-04,1961
CARDER GWEN 1959,CARDER GWEN 1959-05-31,CARDER,GWEN,1959-05-31,1959,1960-03-15,1960,1959-05-31,1959
CARDWELL HANNAH 2003,CARDWELL HANNAH 2003-03-04,CARDWELL,HANNAH,2003-03-04,2003,2004-02-09,2004,2003-03-04,2003
CARES JACQUELINE 1928,CARES JACQUELINE 1928-02-16,CARES,JACQUELINE,1928-02-16,1928,1928-07-30,1928,1928-02-16,1928
CARES JACKIE 1928,CARES JACKIE 1928-02-06,CARES,JACKIE,1928-02-06,1928,1928-04-10,1928,1928-02-06,1928
CARES JACQUELINE 1928,CARES JACQUELINE 1928-02-16,CARES,JACQUELINE,1928-02-16,1928,1928-08-04,1928,1928-02-16,1928
CAREY KAYLIN 1994,CAREY KAYLIN 1994-12-09,CAREY,KAYLIN,1994-12-09,1994,1995-04-01,1995,1994-12-09,1994
CAREY MARVIN 1959,CAREY MARVIN 1959-04-05,CAREY,MARVIN,1959-04-05,1959,1960-02-14,1960,1959-04-05,1959
CARGILE DAVID 1965,CARGILE DAVID 1965-09-28,CARGILE,DAVID,1965-09-28,1965,1966-04-22,1966,1965-09-28,1965
CARGLE WILLIAM 1961,CARGLE WILLIAM 1961-08-17,CARGLE,WILLIAM,1961-08-17,1961,1962-02-26,1962,1961-08-17,1961
CARGLE MARY 1937,CARGLE MARY 1937-05-10,CARGLE,MARY,1937-05-10,1937,1938-03-04,1938,1937-05-10,1937
CARGLE MARY 1937,CARGLE MARY 1937-05-10,CARGLE,MARY,1937-05-10,1937,1938-04-08,1938,1937-05-10,1937
CARL JEAN ANN 1941,CARL JEAN ANN 1941-08-22,CARL,JEAN ANN,1941-08-22,1941,1942-06-01,1942,1941-08-22,1941
CARLOS JUAN 1980,CARLOS JUAN 1980-11-26,CARLOS,JUAN,1980-11-26,1980,1981-09-19,1981,1980-11-26,1980
CARLOS ZAIRA 2020,CARLOS ZAIRA 2020-07-08,CARLOS,ZAIRA,2020-07-08,2020,2020-07-18,2020,2020-07-08,2020
CARLOS JUAN 1975,CARLOS JUAN 1975-07-12,CARLOS,JUAN,1975-07-12,1975,1976-04-10,1976,1975-07-12,1975
CARLSON JAMES 1971,CARLSON JAMES 1971-07-17,CARLSON,JAMES,1971-07-17,1971,1971-09-08,1971,1971-07-17,1971
CARLSON ERNEST 1929,CARLSON ERNEST 1929-04-21,CARLSON,ERNEST,NULL,NULL,1929-04-21,1929,1929-04-21,1929
CARLSON IAN 1986,CARLSON IAN 1986-03-19,CARLSON,IAN,1986-03-19,1986,1986-05-06,1986,1986-03-19,1986
CARLYLE JONATHAN 2014,CARLYLE JONATHAN 2014-07-26,CARLYLE,JONATHAN,2014-07-26,2014,2015-06-05,2015,2014-07-26,2014
CARLYLE JONATHAN 2014,CARLYLE JONATHAN 2014-07-26,CARLYLE,JONATHAN,2014-07-26,2014,2015-05-06,2015,2014-07-26,2014
CARMAN CARY 1964,CARMAN CARY 1964-09-05,CARMAN,CARY,1964-09-05,1964,1965-07-17,1965,1964-09-05,1964
CARMAN DONNA 1953,CARMAN DONNA 1953-11-25,CARMAN,DONNA,1953-11-25,1953,1953-12-21,1953,1953-11-25,1953
CARMELITA STARLA 1980,CARMELITA STARLA 1980-02-06,CARMELITA,STARLA,1980-02-06,1980,1981-02-03,1981,1980-02-06,1980
CARMICHAEL PETER 1949,CARMICHAEL PETER 1949-08-03,CARMICHAEL,PETER,1949-08-03,1949,1949-12-10,1949,1949-08-03,1949
CARMICHAEL TOMMI 1935,CARMICHAEL TOMMI 1935-11-07,CARMICHAEL,TOMMI,1935-11-07,1935,1936-04-19,1936,1935-11-07,1935
CARMICHAEL OTIS 1952,CARMICHAEL OTIS 1952-04-07,CARMICHAEL,OTIS,1952-04-07,1952,1953-02-22,1953,1952-04-07,1952
CARMICHAEL TOMMI 1935,CARMICHAEL TOMMI 1935-11-07,CARMICHAEL,TOMMI,1935-11-07,1935,1936-05-11,1936,1935-11-07,1935
CARMICHAEL TOMMIE 1935,CARMICHAEL TOMMIE 1935-11-07,CARMICHAEL,TOMMIE,1935-11-07,1935,1936-10-14,1936,1935-11-07,1935
CARMICHAEL JAMES 1940,CARMICHAEL JAMES 1940-06-12,CARMICHAEL,JAMES,1940-06-12,1940,1940-09-03,1940,1940-06-12,1940
CARMICHAEL OTIS 1952,CARMICHAEL OTIS 1952-04-07,CARMICHAEL,OTIS,1952-04-07,1952,1953-02-04,1953,1952-04-07,1952
CARMICHAEL OTIS 1952,CARMICHAEL OTIS 1952-04-07,CARMICHAEL,OTIS,1952-04-07,1952,1953-02-23,1953,1952-04-07,1952
CARMODY JOAN 1946,CARMODY JOAN 1946-11-15,CARMODY,JOAN,1946-11-15,1946,1947-12-02,1947,1946-11-15,1946
CARMONA LUISA 1952,CARMONA LUISA 1952-08-12,CARMONA,LUISA,1952-08-12,1952,1952-09-08,1952,1952-08-12,1952
CARNALL RILEY 2007,CARNALL RILEY 2007-02-24,CARNALL,RILEY,2007-02-24,2007,2007-03-17,2007,2007-02-24,2007
CARNEY BOBBY 1963,CARNEY BOBBY 1963-11-22,CARNEY,BOBBY,1963-11-22,1963,1964-08-12,1964,1963-11-22,1963
CARNEY GAIL 1943,CARNEY GAIL 1943-11-21,CARNEY,GAIL,1943-11-21,1943,1944-01-18,1944,1943-11-21,1943
CARNEY RICHARD 1956,CARNEY RICHARD 1956-09-20,CARNEY,RICHARD,1956-09-20,1956,1957-09-03,1957,1956-09-20,1956
CARNEY KRYSTAL 1986,CARNEY KRYSTAL 1986-11-19,CARNEY,KRYSTAL,1986-11-19,1986,1987-09-04,1987,1986-11-19,1986
CARNEY SALLY 1961,CARNEY SALLY 1961-10-06,CARNEY,SALLY,1961-10-06,1961,1961-12-30,1961,1961-10-06,1961
CARODINE KENNETH 1969,CARODINE KENNETH 1969-03-10,CARODINE,KENNETH,1969-03-10,1969,1969-10-27,1969,1969-03-10,1969
CAROLA CAROL 1955,CAROLA CAROL 1955-04-16,CAROLA,CAROL,1955-04-16,1955,1955-12-01,1955,1955-04-16,1955
CAROLLO JOSEPH 1969,CAROLLO JOSEPH 1969-10-03,CAROLLO,JOSEPH,1969-10-03,1969,1970-08-24,1970,1969-10-03,1969
CARPENTER ERIK 1969,CARPENTER ERIK 1969-05-23,CARPENTER,ERIK,1969-05-23,1969,1969-09-10,1969,1969-05-23,1969
CARPENTER ERIK 1969,CARPENTER ERIK 1969-05-23,CARPENTER,ERIK,1969-05-23,1969,1970-05-16,1970,1969-05-23,1969
CARPENTER TROY 1961,CARPENTER TROY 1961-12-12,CARPENTER,TROY,1961-12-12,1961,1962-09-11,1962,1961-12-12,1961
CARPENTER ERIK 1969,CARPENTER ERIK 1969-05-23,CARPENTER,ERIK,1969-05-23,1969,1969-07-26,1969,1969-05-23,1969
CARPENTER ERIK 1969,CARPENTER ERIK 1969-05-23,CARPENTER,ERIK,1969-05-23,1969,1970-04-15,1970,1969-05-23,1969
CARPENTER KARON 1953,CARPENTER KARON 1953-02-16,CARPENTER,KARON,1953-02-16,1953,1953-11-18,1953,1953-02-16,1953
CARPINETO DANA 1959,CARPINETO DANA 1959-02-25,CARPINETO,DANA,1959-02-25,1959,1960-02-28,1960,1959-02-25,1959
CARR MARION 1947,CARR MARION 1947-02-23,CARR,MARION,1947-02-23,1947,1947-06-20,1947,1947-02-23,1947
CARR MARY 1979,CARR MARY 1979-06-22,CARR,MARY,1979-06-22,1979,1980-05-01,1980,1979-06-22,1979
CARR DONNIE 1954,CARR DONNIE 1954-08-21,CARR,DONNIE,1954-08-21,1954,1955-03-27,1955,1954-08-21,1954
CARR JESSICA 1993,CARR JESSICA 1993-09-02,CARR,JESSICA,1993-09-02,1993,1994-04-25,1994,1993-09-02,1993
CARR MICHAEL 1964,CARR MICHAEL 1964-07-20,CARR,MICHAEL,1964-07-20,1964,1965-01-02,1965,1964-07-20,1964
CARR REESE 2000,CARR REESE 2000-08-28,CARR,REESE,2000-08-28,2000,2001-08-02,2001,2000-08-28,2000
CARRANZA SOPHIA 2021,CARRANZA SOPHIA 2021-05-24,CARRANZA,SOPHIA,2021-05-24,2021,2021-05-31,2021,2021-05-24,2021
CARRASQUILLO ROBERT 1960,CARRASQUILLO ROBERT 1960-06-30,CARRASQUILLO,ROBERT,1960-06-30,1960,1961-04-19,1961,1960-06-30,1960
CARRELL SHARON 1952,CARRELL SHARON 1952-12-28,CARRELL,SHARON,1952-12-28,1952,1953-07-06,1953,1952-12-28,1952
CARRELL SHARON 1952,CARRELL SHARON 1952-12-28,CARRELL,SHARON,1952-12-28,1952,1953-10-27,1953,1952-12-28,1952
CARRERA JOAN 1990,CARRERA JOAN 1990-07-19,CARRERA,JOAN,1990-07-19,1990,1991-05-26,1991,1990-07-19,1990
CARRERAS HENA 1924,CARRERAS HENA 1924-06-29,CARRERAS,HENA,1924-06-29,1924,1924-08-13,1924,1924-06-29,1924
CARRIGER MARY 1940,CARRIGER MARY 1940-09-24,CARRIGER,MARY,1940-09-24,1940,1941-08-31,1941,1940-09-24,1940
CARRILLO VIVAL 1968,CARRILLO VIVAL 1968-09-24,CARRILLO,VIVAL,1968-09-24,1968,1968-10-27,1968,1968-09-24,1968
CARRILLO CHRISTIAN 2007,CARRILLO CHRISTIAN 2007-08-14,CARRILLO,CHRISTIAN,2007-08-14,2007,2007-09-07,2007,2007-08-14,2007
CARRINGTON ISIAH 2019,CARRINGTON ISIAH 2019-04-08,CARRINGTON,ISIAH,2019-04-08,2019,2020-01-14,2020,2019-04-08,2019
CARRINGTON KALI 1996,CARRINGTON KALI 1996-07-27,CARRINGTON,KALI,1996-07-27,1996,1996-12-30,1996,1996-07-27,1996
CARRODUS JACK 1963,CARRODUS JACK 1963-05-08,CARRODUS,JACK,1963-05-08,1963,1963-09-13,1963,1963-05-08,1963
CARROLL LORETTA 1965,CARROLL LORETTA 1965-09-27,CARROLL,LORETTA,1965-09-27,1965,1966-09-09,1966,1965-09-27,1965
CARROLL MARCUS 1984,CARROLL MARCUS 1984-01-29,CARROLL,MARCUS,1984-01-29,1984,1984-12-15,1984,1984-01-29,1984
CARROLL BRANYAN 2011,CARROLL BRANYAN 2011-11-26,CARROLL,BRANYAN,2011-11-26,2011,2012-07-01,2012,2011-11-26,2011
CARROLL DILAN 2007,CARROLL DILAN 2007-08-28,CARROLL,DILAN,2007-08-28,2007,2008-03-25,2008,2007-08-28,2007
CARROLL CHRIS 1985,CARROLL CHRIS 1985-08-10,CARROLL,CHRIS,1985-08-10,1985,1986-03-25,1986,1985-08-10,1985
CARROLL HEARN 1943,CARROLL HEARN 1943-06-04,CARROLL,HEARN,1943-06-04,1943,1943-08-24,1943,1943-06-04,1943
CARROLL LORETTA 1965,CARROLL LORETTA 1965-09-27,CARROLL,LORETTA,1965-09-27,1965,1966-09-11,1966,1965-09-27,1965
CARROLL DILLION 1995,CARROLL DILLION 1995-10-08,CARROLL,DILLION,1995-10-08,1995,1996-09-11,1996,1995-10-08,1995
CARROLL HELEN 1949,CARROLL HELEN 1949-10-08,CARROLL,HELEN,1949-10-08,1949,1950-09-11,1950,1949-10-08,1949
CARROLL SHELIA 1955,CARROLL SHELIA 1955-05-11,CARROLL,SHELIA,1955-05-11,1955,1955-10-07,1955,1955-05-11,1955
CARRUTH CATHY 1950,CARRUTH CATHY 1950-06-09,CARRUTH,CATHY,1950-06-09,1950,1950-12-15,1950,1950-06-09,1950
CARRUTH MIKE 1964,CARRUTH MIKE 1964-05-25,CARRUTH,MIKE,1964-05-25,1964,1965-01-20,1965,1964-05-25,1964
CARSON KENNETH 1941,CARSON KENNETH 1941-11-13,CARSON,KENNETH,1941-11-13,1941,1942-06-21,1942,1941-11-13,1941
CARSON PENNY 1946,CARSON PENNY 1946-07-29,CARSON,PENNY,1946-07-29,1946,1947-07-11,1947,1946-07-29,1946
CARSON JETTA 1933,CARSON JETTA 1933-01-11,CARSON,JETTA,1933-01-11,1933,1933-12-16,1933,1933-01-11,1933
CARSON KENNEDY 2011,CARSON KENNEDY 2011-11-11,CARSON,KENNEDY,2011-11-11,2011,2012-05-11,2012,2011-11-11,2011
CARSON SHELIA 1941,CARSON SHELIA 1941-10-01,CARSON,SHELIA,1941-10-01,1941,1941-12-18,1941,1941-10-01,1941
CARSON SUE 1953,CARSON SUE 1953-12-06,CARSON,SUE,1953-12-06,1953,1954-08-21,1954,1953-12-06,1953
CARTER BRENTON 1990,CARTER BRENTON 1990-04-28,CARTER,BRENTON,1990-04-28,1990,1991-03-09,1991,1990-04-28,1990
CARTER CACHET 1989,CARTER CACHET 1989-08-14,CARTER,CACHET,1989-08-14,1989,1989-08-22,1989,1989-08-14,1989
CARTER CARTILIA 1954,CARTER CARTILIA 1954-01-28,CARTER,CARTILIA,1954-01-28,1954,1954-07-26,1954,1954-01-28,1954
CARTER CLARA 1930,CARTER CLARA 1930-05-04,CARTER,CLARA,1930-05-04,1930,1930-09-03,1930,1930-05-04,1930
CARTER DONNA 1953,CARTER DONNA 1953-04-07,CARTER,DONNA,1953-04-07,1953,1954-04-03,1954,1953-04-07,1953
CARTER EMILIE 1950,CARTER EMILIE 1950-07-29,CARTER,EMILIE,1950-07-29,1950,1951-08-12,1951,1950-07-29,1950
CARTER GWENDOLYN 1959,CARTER GWENDOLYN 1959-05-31,CARTER,GWENDOLYN,1959-05-31,1959,1959-08-15,1959,1959-05-31,1959
CARTER JACK 1956,CARTER JACK 1956-09-11,CARTER,JACK,1956-09-11,1956,1957-03-12,1957,1956-09-11,1956
CARTER JACK 1956,CARTER JACK 1956-09-11,CARTER,JACK,1956-09-11,1956,1957-03-28,1957,1956-09-11,1956
CARTER KACHAE 1972,CARTER KACHAE 1972-05-29,CARTER,KACHAE,1972-05-29,1972,1972-09-21,1972,1972-05-29,1972
CARTER LEROY 1932,CARTER LEROY 1932-09-27,CARTER,LEROY,1932-09-27,1932,1933-03-25,1933,1932-09-27,1932
CARTER MARGARET 1934,CARTER MARGARET 1934-12-14,CARTER,MARGARET,1934-12-14,1934,1935-10-17,1935,1934-12-14,1934
CARTER PAULETTE 1991,CARTER PAULETTE 1991-11-26,CARTER,PAULETTE,1991-11-26,1991,1992-11-19,1992,1991-11-26,1991
CARTER SYLVIA 1969,CARTER SYLVIA 1969-03-07,CARTER,SYLVIA,1969-03-07,1969,1969-06-29,1969,1969-03-07,1969
CARTER TRENTON 1975,CARTER TRENTON 1975-06-03,CARTER,TRENTON,1975-06-03,1975,1975-11-06,1975,1975-06-03,1975
CARTER WILLIAM 1964,CARTER WILLIAM 1964-10-31,CARTER,WILLIAM,1964-10-31,1964,1965-09-30,1965,1964-10-31,1964
CARTER ZACHARIAN 2012,CARTER ZACHARIAN 2012-09-04,CARTER,ZACHARIAN,2012-09-04,2012,2012-12-12,2012,2012-09-04,2012
CARTER ANNA 1921,CARTER ANNA 1921-07-10,CARTER,ANNA,1921-07-10,1921,1922-05-01,1922,1921-07-10,1921
CARTER BOBBIE 1980,CARTER BOBBIE 1980-12-06,CARTER,BOBBIE,1980-12-06,1980,1981-07-08,1981,1980-12-06,1980
CARTER DANICA 1965,CARTER DANICA 1965-09-20,CARTER,DANICA,1965-09-20,1965,1965-10-09,1965,1965-09-20,1965
CARTER DAVITA 1969,CARTER DAVITA 1969-09-13,CARTER,DAVITA,1969-09-13,1969,1970-08-19,1970,1969-09-13,1969
CARTER GLORIA 1941,CARTER GLORIA 1941-09-07,CARTER,GLORIA,1941-09-07,1941,1942-03-17,1942,1941-09-07,1941
CARTER GUINEVERE 1973,CARTER GUINEVERE 1973-09-26,CARTER,GUINEVERE,1973-09-26,1973,1974-10-04,1974,1973-09-26,1973
CARTER JAMES 1961,CARTER JAMES 1961-04-10,CARTER,JAMES,1961-04-10,1961,1961-08-07,1961,1961-04-10,1961
CARTER MARY 1952,CARTER MARY 1952-05-25,CARTER,MARY,1952-05-25,1952,1953-03-16,1953,1952-05-25,1952
CARTER PAULINE 1924,CARTER PAULINE 1924-02-05,CARTER,PAULINE,1924-02-05,1924,1924-05-07,1924,1924-02-05,1924
CARTER STEPHANIE 1976,CARTER STEPHANIE 1976-11-28,CARTER,STEPHANIE,1976-11-28,1976,1977-01-11,1977,1976-11-28,1976
CARTER SYLVIA 1969,CARTER SYLVIA 1969-03-07,CARTER,SYLVIA,1969-03-07,1969,1969-10-07,1969,1969-03-07,1969
CARTER WILLIAM 1934,CARTER WILLIAM 1934-09-11,CARTER,WILLIAM,1934-09-11,1934,1934-12-29,1934,1934-09-11,1934
CARTER BONNIE 1944,CARTER BONNIE 1944-12-08,CARTER,BONNIE,1944-12-08,1944,1945-05-04,1945,1944-12-08,1944
CARTER CARL 1952,CARTER CARL 1952-02-19,CARTER,CARL,1952-02-19,1952,1953-01-13,1953,1952-02-19,1952
CARTER CARL 1952,CARTER CARL 1952-02-19,CARTER,CARL,1952-02-19,1952,1953-01-29,1953,1952-02-19,1952
CARTER DANICA 1965,CARTER DANICA 1965-09-20,CARTER,DANICA,1965-09-20,1965,1966-05-29,1966,1965-09-20,1965
CARTER DARIUS 2019,CARTER DARIUS 2019-10-07,CARTER,DARIUS,2019-10-07,2019,2020-04-13,2020,2019-10-07,2019
CARTER DAVITA 1969,CARTER DAVITA 1969-09-13,CARTER,DAVITA,1969-09-13,1969,1970-04-11,1970,1969-09-13,1969
CARTER DWIGHT 1934,CARTER DWIGHT 1934-06-13,CARTER,DWIGHT,1934-06-13,1934,1935-05-20,1935,1934-06-13,1934
CARTER GLORIA 1941,CARTER GLORIA 1941-09-07,CARTER,GLORIA,1941-09-07,1941,1941-12-07,1941,1941-09-07,1941
CARTER LAWRENCE 1944,CARTER LAWRENCE 1944-03-03,CARTER,LAWRENCE,1944-03-03,1944,1945-01-23,1945,1944-03-03,1944
CARTER LEROY 1963,CARTER LEROY 1963-10-18,CARTER,LEROY,1963-10-18,1963,2016-04-29,2016,1963-10-18,1963
CARTER MARGARET 1934,CARTER MARGARET 1934-12-13,CARTER,MARGARET,1934-12-13,1934,1935-08-12,1935,1934-12-13,1934
CARTER MATHEW 2019,CARTER MATHEW 2019-02-05,CARTER,MATHEW,2019-02-05,2019,2019-04-30,2019,2019-02-05,2019
CARTER SAVANNAH 2000,CARTER SAVANNAH 2000-04-04,CARTER,SAVANNAH,2000-04-04,2000,2000-05-20,2000,2000-04-04,2000
CARTER CARL 1952,CARTER CARL 1952-02-19,CARTER,CARL,1952-02-19,1952,1953-01-30,1953,1952-02-19,1952
CARTER DAVITA 1969,CARTER DAVITA 1969-09-13,CARTER,DAVITA,1969-09-13,1969,1970-07-09,1970,1969-09-13,1969
CARTER DEBORA 1962,CARTER DEBORA 1962-08-18,CARTER,DEBORA,1962-08-18,1962,1963-01-13,1963,1962-08-18,1962
CARTER DESTINY ANN 2000,CARTER DESTINY ANN 2000-01-06,CARTER,DESTINY ANN,2000-01-06,2000,2000-09-10,2000,2000-01-06,2000
CARTER JAMES 2018,CARTER JAMES 2018-10-28,CARTER,JAMES,2018-10-28,2018,2018-12-20,2018,2018-10-28,2018
CARTER JULLIAN 1989,CARTER JULLIAN 1989-08-08,CARTER,JULLIAN,1989-08-08,1989,1990-05-19,1990,1989-08-08,1989
CARTER LORNA 1974,CARTER LORNA 1974-05-25,CARTER,LORNA,1974-05-25,1974,1974-06-13,1974,1974-05-25,1974
CARTER SCOTT 1947,CARTER SCOTT 1947-08-22,CARTER,SCOTT,1947-08-22,1947,1948-05-01,1948,1947-08-22,1947
CARTER SHARON 1921,CARTER SHARON 1921-05-31,CARTER,SHARON,1921-05-31,1921,1921-10-02,1921,1921-05-31,1921
CARTER WILLIAM 1934,CARTER WILLIAM 1934-09-11,CARTER,WILLIAM,1934-09-11,1934,1935-02-16,1935,1934-09-11,1934
CARTER ZHAD 1991,CARTER ZHAD 1991-09-27,CARTER,ZHAD,1991-09-27,1991,1991-11-28,1991,1991-09-27,1991
CARTHON DEXTER 1984,CARTHON DEXTER 1984-04-05,CARTHON,DEXTER,1984-04-05,1984,1984-04-29,1984,1984-04-05,1984
CARTNER PEGGY 1943,CARTNER PEGGY 1943-01-11,CARTNER,PEGGY,1943-01-11,1943,1943-09-22,1943,1943-01-11,1943
CARTWRIGHT STEPHANIE 1975,CARTWRIGHT STEPHANIE 1975-03-26,CARTWRIGHT,STEPHANIE,1975-03-26,1975,1975-10-08,1975,1975-03-26,1975
CARTY KEVIN 1961,CARTY KEVIN 1961-02-28,CARTY,KEVIN,1961-02-28,1961,1961-04-18,1961,1961-02-28,1961
CARUSO ELIZABETH 1968,CARUSO ELIZABETH 1968-06-04,CARUSO,ELIZABETH,1968-06-04,1968,1968-09-08,1968,1968-06-04,1968
CARVAJAL LAURA 1979,CARVAJAL LAURA 1979-08-25,CARVAJAL,LAURA,1979-08-25,1979,1979-09-09,1979,1979-08-25,1979
CARVALHO DOMINGOS 1999,CARVALHO DOMINGOS 1999-01-01,CARVALHO,DOMINGOS,1999-01-01,1999,1999-07-29,1999,1999-01-01,1999
CARVALO THOMAS 1988,CARVALO THOMAS 1988-08-18,CARVALO,THOMAS,1988-08-18,1988,1989-07-27,1989,1988-08-18,1988
CARVER CARLTON 1952,CARVER CARLTON 1952-11-30,CARVER,CARLTON,1952-11-30,1952,1953-04-20,1953,1952-11-30,1952
CARVER GREG 1986,CARVER GREG 1986-05-07,CARVER,GREG,1986-05-07,1986,1986-07-06,1986,1986-05-07,1986
CARVER KENNETH 1961,CARVER KENNETH 1961-06-18,CARVER,KENNETH,1961-06-18,1961,1962-06-29,1962,1961-06-18,1961
CARVER LESLIE 1987,CARVER LESLIE 1987-05-27,CARVER,LESLIE,1987-05-27,1987,1988-03-01,1988,1987-05-27,1987
